country,iso3,year,value,unit,sector,data_source
Afghanistan,AFG,2019,0,USD (1),aqf,FAO global trade
Afghanistan,AFG,2020,130.89999999999998,USD (1),aqf,FAO global trade
Afghanistan,AFG,2021,0,USD (1),aqf,FAO global trade
Armenia,ARM,2019,0,USD (1),aqf,FAO global trade
Armenia,ARM,2020,0,USD (1),aqf,FAO global trade
Armenia,ARM,2021,6689.4,USD (1),aqf,FAO global trade
Aruba,ABW,2019,5625.0999999999995,USD (1),aqf,FAO global trade
Aruba,ABW,2020,0,USD (1),aqf,FAO global trade
Aruba,ABW,2021,0,USD (1),aqf,FAO global trade
Australia,AUS,2019,1563488.5,USD (1),aqf,FAO global trade
Australia,AUS,2020,827864.4,USD (1),aqf,FAO global trade
Australia,AUS,2021,1084103.3,USD (1),aqf,FAO global trade
Bahrain,BHR,2019,26170.2,USD (1),aqf,FAO global trade
Bahrain,BHR,2020,0,USD (1),aqf,FAO global trade
Bahrain,BHR,2021,127659.59999999999,USD (1),aqf,FAO global trade
Bangladesh,BGD,2019,62525.2,USD (1),aqf,FAO global trade
Bangladesh,BGD,2020,0,USD (1),aqf,FAO global trade
Bangladesh,BGD,2021,0,USD (1),aqf,FAO global trade
Belgium,BEL,2019,60800.9,USD (1),aqf,FAO global trade
Belgium,BEL,2020,304787.7,USD (1),aqf,FAO global trade
Belgium,BEL,2021,103535.8,USD (1),aqf,FAO global trade
Botswana,BWA,2019,420.2,USD (1),aqf,FAO global trade
Botswana,BWA,2020,0,USD (1),aqf,FAO global trade
Botswana,BWA,2021,0,USD (1),aqf,FAO global trade
Brazil,BRA,2019,239224,USD (1),aqf,FAO global trade
Brazil,BRA,2020,116326,USD (1),aqf,FAO global trade
Brazil,BRA,2021,191697,USD (1),aqf,FAO global trade
Bulgaria,BGR,2019,432288.4,USD (1),aqf,FAO global trade
Bulgaria,BGR,2020,762125.7,USD (1),aqf,FAO global trade
Bulgaria,BGR,2021,661972.7,USD (1),aqf,FAO global trade
Burundi,BDI,2019,0,USD (1),aqf,FAO global trade
Burundi,BDI,2020,0,USD (1),aqf,FAO global trade
Burundi,BDI,2021,20.2,USD (1),aqf,FAO global trade
Canada,CAN,2019,0,USD (1),aqf,FAO global trade
Canada,CAN,2020,0,USD (1),aqf,FAO global trade
Canada,CAN,2021,9494.6,USD (1),aqf,FAO global trade
China,CHN,2019,11789,USD (1),aqf,FAO global trade
China,CHN,2020,0,USD (1),aqf,FAO global trade
China,CHN,2021,0,USD (1),aqf,FAO global trade
"China, Hong Kong SAR",HKG,2019,400248.39999999997,USD (1),aqf,FAO global trade
"China, Hong Kong SAR",HKG,2020,242662.59999999998,USD (1),aqf,FAO global trade
"China, Hong Kong SAR",HKG,2021,301209.7,USD (1),aqf,FAO global trade
"China, Macao SAR",MAC,2019,0,USD (1),aqf,FAO global trade
"China, Macao SAR",MAC,2020,0,USD (1),aqf,FAO global trade
"China, Macao SAR",MAC,2021,0,USD (1),aqf,FAO global trade
Colombia,COL,2019,1254942.5,USD (1),aqf,FAO global trade
